Issue,Subject,Company,status,product_area,response,justification,request_type,escalation_reason
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,Claude · Anthropic Help Center — team and enterprise plans  ·  security and compliance,"This situation needs personalized follow-up beyond what we can finalize automatically.

This issue requires direct support from Anthropic. Please visit https://support.claude.com/en/articles/9015913-how-to-get-support for current contact options.",Escalated because automated triage flagged elevated risk/policy obligations. domain=claude risk_tier=soft risk_reason=seat_or_admin_change_requires_org_admin_or_support policy_escalate=False:. See evidence URLs below for grounding context captured before routing.,product_issue,seat_or_admin_change_requires_org_admin_or_support
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,HackerRank Platform — screen  ·  best practice guides,"This situation needs a specialist review.

This issue requires attention from a HackerRank support specialist. Please submit a request at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or contact your account manager.",Escalated because automated triage flagged elevated risk/policy obligations. domain=hackerrank risk_tier=hard risk_reason=test_outcome_or_score_dispute_requires_human_review policy_escalate=False:. See evidence URLs below for grounding context captured before routing.,product_issue,test_outcome_or_score_dispute_requires_human_review
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,Visa Consumer Support,"We need human follow-up because purchase disputes and refunds are handled by your issuing bank—not directly by Visa in most cases.

This merchant and refund scenario needs your issuing bank to investigate and take action (Visa routes disputes through banks).

To dispute a charge, contact your issuer or bank using the phone number on the front or back of your Visa card. Your bank will require detailed information about the transaction before resolving the dispute. Visa does not directly process disputes — this is done through your issuing bank.
Source: https://www.visa.co.in/support.html",Escalated because automated triage flagged elevated risk/policy obligations. domain=visa risk_tier=soft risk_reason=merchant_refund_or_seller_action_requires_issuer policy_escalate=False:. See evidence URLs below for grounding context captured before routing.,product_issue,merchant_refund_or_seller_action_requires_issuer
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,HackerRank Platform — hackerrank_community  ·  subscriptions payments and billing,"This situation needs a specialist review.

This issue requires attention from a HackerRank support specialist. Please submit a request at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or contact your account manager.",Escalated because automated triage flagged elevated risk/policy obligations. domain=hackerrank risk_tier=none risk_reason=none policy_escalate=True:refund. See evidence URLs below for grounding context captured before routing.,bug,refund
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,HackerRank Platform — pro and max plans  ·  general,We are not confident enough to auto-answer from documentation alone for this request. This issue requires attention from a HackerRank support specialist. Please submit a request at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or contact your account manager.,Escalated due to weak corpus match under no-LLM mode. domain=hackerrank risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=31.1883 bm25_margin=0.0182 retrieval_escalate=True:low_margin_without_llm retrieval_quality=True:ok domain_scores={'hackerrank': 999} ambiguous_domain=clear,product_issue,low_margin_without_llm
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,HackerRank Platform — general help  ·  evaluation guides,"This situation needs personalized follow-up beyond what we can finalize automatically.

This issue requires attention from a HackerRank support specialist. Please submit a request at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or contact your account manager.",Escalated because automated triage flagged elevated risk/policy obligations. domain=hackerrank risk_tier=soft risk_reason=enterprise_security_review_requires_account_team policy_escalate=False:. See evidence URLs below for grounding context captured before routing.,product_issue,enterprise_security_review_requires_account_team
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,HackerRank Platform — screen  ·  best practice guides,"A soft bounce indicates a temporary failure to deliver an email. The message might be delivered successfully if retried. However, delivery is not guaranteed, especially if a spam filter caused the failure. Common causes of soft bounces include: - **Mailbox full**: The recipient’s inbox is full and cannot accept new messages. - **Server busy**: The recipient’s email server is temporarily unavailable. - **Message too large**: The email exceeds the server’s size limits. - **Spam filter**: The email was temporarily blocked by a spam filter. - **Temporary server error**: A transient issue occurred on the recipient’s server.

Related guidance: To apply for a job: 1. Log in to [HackerRank Community](https://www.hackerrank.com/auth/login) using your credentials. 2. Go to the **Apply** tab to view available developer jobs. 3. Refine the job list using the following filters: - **Role**: Select a role that matches your expertise (For example, Back-End Engineer or Data Analyst). - **Experience level**: Choose an experience level (For example, 0–3 years, 3–5 years, or 5–7 years). - **Location**: Specify your preferred job location. - **Company**: Select the company you want to apply to. 4. Select a job title to view the job description, which includes required skills, experience, qualifications, and responsibilities. 5. *(Optional)* Check your resume score before applying: - Upload your resume for each job listing to receive a compatibility score. - If there are skill gaps, HackerRank highlights them and provides links to relevant practice resources. - If you have not uploaded a resume: 1. Click **Upload a Resume** or **Choose from Resume Builder**. - To upload a file, drag and drop your resume or click **Choose File** (PDF fo...",Replied using top documentation snippets (no LLM). domain=hackerrank risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=56.7594 bm25_margin=0.0520 retrieval_escalate=False: retrieval_quality=True:ok domain_scores={'hackerrank': 999} ambiguous_domain=clear,bug,
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,HackerRank Platform — integrations  ·  applicant tracking systems  ·  eightfold,"This situation needs a specialist review.

This issue requires attention from a HackerRank support specialist. Please submit a request at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form or contact your account manager.",Escalated because automated triage flagged elevated risk/policy obligations. domain=hackerrank risk_tier=hard risk_reason=widespread_platform_issue_requires_operations_team policy_escalate=False:. See evidence URLs below for grounding context captured before routing.,product_issue,widespread_platform_issue_requires_operations_team
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,HackerRank Platform — general help  ·  release notes,"Conduct a system [compatibility check](https://www.hackerrank.com/compatibility), assessing audio/video permissions, internet strength, and other key parameters. This proactive measure ensures a smooth experience for interviewers and candidates alike, allowing you to focus on the interview itself without technical disruptions. ![Screenshot 2024-04-15 at 11.53.32 AM.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046096828-?Expires=253370764800&Signature=t-LJaTPUWVcbdrgoFCgehZTVrO7s5i3lBHIFLc7jq-jo3sG~5G~U0oyRr95uCytl-hXSyQ1p5JJ81efBhoB~eVzXJZvlJ66rKk83OQ4znFvrWWsvgTm0CuVNOyxWXtcG2VLt27uruLDrWqdEzhlgTF2u3f7mmWeSIIgs9eozXgFxG-lE8JeSg6wR4knDywp0xKcrfs~Hsc3RnwIWdeWvlue1w9UmICDcoct04ZKjwhFbYxXn8j8g6LK2htFwOczP67bxWg9BNbCL6TzufBZY~EswVItEd7sUBMCV7uHc-1OotdRlti~BiBPmH9mXA4BMRMHzyM6dpvLblTkrdWwFag__&Key-Pair-Id=K3NV4LZ47N8M46) Learn more [here](https://support.hackerrank.com/articles/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom#compatibility-check-for-tests-and-interviews-5).

Related guidance: The pre-test compatibility page now detects WebSocket connectivity issues and provides guidance to resolve them. This helps candidates identify and fix setup issues before starting the test. ![WebSocket Connectivity Check on the Compatibility page.gif](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1776162460247-WebSocketConnectivityCheckontheCompatibilitypage.gif?Expires=253370764800&Signature=eXVhiW9ykjSDP4ozkyUdrz7YDNE3ymfLQBDLAYNZFlSxsrHxXe3REE4xsducE0EUl0YoRXYm2cIHTZbHhgK5EnNp5QrxlXcNV25K4y5V-EAUcq-2bp6SAbVJJ1UzwLKOTWgu~q0rAvRNKaw6cQ5ALz5MaIJ5fWjZ8X2yoxBLt5UAoCVJj-h0aQ0A6nDHCD1Yb7qNem2D5CtvV4oqh2lJwVAKdIuPma2x6E~taUqL6-NvbJ0GtCot79CSEj8NclmvK1ZnPxOAIUV8JRbT8FdkwgoxLWpsVcopZkxXTXFTQAsphm4o-XxxF3uveFofPDAIirrB9FrnMfUFmPGh1R~NVQ__&Key-Pair-Id=K3NV4LZ47N8M46) For more information, see [Troubleshooting Test Login Errors](https://candidatesupport.hackerrank.com/articles/2573735554-test-login-errors).",Replied using top documentation snippets (no LLM). domain=hackerrank risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=82.7298 bm25_margin=0.0052 retrieval_escalate=False:near_dup_top_docs retrieval_quality=True:ok domain_scores={'hackerrank': 999} ambiguous_domain=clear,bug,
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,replied,HackerRank Platform — uncategorized,"<table> <colgroup> <col style=""width: 100%"" /> </colgroup> <tbody> <tr> <td data-colspan=""1"" data-rowspan=""1"" style=""width: 100%""><p><em>Subject:</em> <strong>&lt;Company Name&gt; &lt; Test Name &gt;</strong> Assessment Invitation</p> <p><em>Email Body:</em></p> <p>Hi <strong>&lt;Candidate Name&gt;</strong>,</p> <p>Thank you for your interest in <strong>&lt;Company Name&gt;.</strong> We have reviewed your application and would like you to proceed in the next step of the interview process!</p> <p>Your next step is to complete the coding challenge administered by HackerRank. We use this coding challenge to assess <strong>&lt;list skills here&gt;</strong> needed for the job. Once complete, we’ll review your results <strong>&lt;include optional timeframe&gt;</strong> alongside the rest of your application and let you know if we want to set up a phone call to discuss the role further. <strong>To begin, please click on the ""Start Challenge"" button below. </strong></p> <p><strong>Test Expiration Date: </strong></p> <p>The challenge consists of <strong>&lt;list # of questions with questio...

Related guidance: candidate with the tools they will utilize during the interview process. Provide timelines for closing the open position and bringing them onboard. - Consider conducting paired programming Interviews as the first round of evaluation for niche roles where dropout is high and hiring numbers are low. This motivates candidates as they get the opportunity to connect early with a Hiring Manager. - Position the test as a Project Round/Project assignment and let the candidate know that it will be assessed and further discussed in the technical interview round. - You can also position the test as projects similar to what they’ll be working on at your company, so it’s a good opportunity for them to determine if this role will be a mutual fit. - If your organization isn't disqualifying candidates based on their scores (which is sometimes the case for senior candidates), have the recruiter highlight this in their messaging/positioning. For example, the messaging could include: ""Please note that your performance on this assessment isn't dictated by your percentage score, but rather by your ove...",Replied using top documentation snippets (no LLM). domain=hackerrank risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=96.2751 bm25_margin=0.0236 retrieval_escalate=False: retrieval_quality=True:ok domain_scores={'hackerrank': 999} ambiguous_domain=clear,product_issue,
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,replied,HackerRank Platform — screen  ·  best practice guides,"candidate with the tools they will utilize during the interview process. Provide timelines for closing the open position and bringing them onboard. - Consider conducting paired programming Interviews as the first round of evaluation for niche roles where dropout is high and hiring numbers are low. This motivates candidates as they get the opportunity to connect early with a Hiring Manager. - Position the test as a Project Round/Project assignment and let the candidate know that it will be assessed and further discussed in the technical interview round. - You can also position the test as projects similar to what they’ll be working on at your company, so it’s a good opportunity for them to determine if this role will be a mutual fit. - If your organization isn't disqualifying candidates based on their scores (which is sometimes the case for senior candidates), have the recruiter highlight this in their messaging/positioning. For example, the messaging could include: ""Please note that your performance on this assessment isn't dictated by your percentage score, but rather by your ove...

Related guidance: Interviewers can now use Code Review questions in Interviews to assess candidates on their coding skills. In Code Review questions, Interviewers can share code written by someone else and ask the candidates to provide suggestions and comments to improve the code. In the Code Review questions: - Candidates and Interviewers will both be able to add comments to specific lines of the code - Comments can be written with Markdown support for rich text (bold, italics, code snippet, and so on.) - ""Grading Rubrics"" can be added to help the Interviewers to view information regarding the code. They can refer to this information to assess the candidate For information about how to create a Dode Review question, see [Creating a Code Review Question.](https://support.hackerrank.com/hc/en-us/articles/360053848873-Creating-a-Code-Review-Question)",Replied using top documentation snippets (no LLM). domain=hackerrank risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=153.9181 bm25_margin=0.0512 retrieval_escalate=False: retrieval_quality=True:ok domain_scores={'hackerrank': 999} ambiguous_domain=clear,feature_request,
"it’s not working, help",Help needed,None,replied,Claude · Anthropic Help Center — screen  ·  best practice guides,"A soft bounce indicates a temporary failure to deliver an email. The message might be delivered successfully if retried. However, delivery is not guaranteed, especially if a spam filter caused the failure. Common causes of soft bounces include: - **Mailbox full**: The recipient’s inbox is full and cannot accept new messages. - **Server busy**: The recipient’s email server is temporarily unavailable. - **Message too large**: The email exceeds the server’s size limits. - **Spam filter**: The email was temporarily blocked by a spam filter. - **Temporary server error**: A transient issue occurred on the recipient’s server.

Related guidance: _Last updated: 2026-03-16T20:43:27Z_ This error usually indicates an issue on your end, potentially related to your firewall, network, or VPN. Try these steps: - Check if there are any firewall rules or network restrictions blocking the connection to the Claude API endpoint. - Configure your firewall or network settings to allow the connection. - Ensure you're not using a VPN when running the request. If you need to [contact our Support team](https://support.claude.com/en/articles/9015913-how-to-get-support) for further assistance, you can do so by clicking on the message icon in the bottom right of our Help Center, or by clicking your initials in the lower left corner of your Claude Console account, then ""Get help.""","Replied using top documentation snippets (no LLM). domain=claude risk_tier=none risk_reason=none policy_escalate=False: bm25_top1=30.7584 bm25_margin=0.2078 retrieval_escalate=False: retrieval_quality=True:ok domain_scores={'hackerrank': 0, 'claude': 0, 'visa': 0} ambiguous_domain=unknown_domain",bug,
